Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
13895,"The Fires of Heaven (The Wheel of Time, #5)",Robert Jordan,"Jordan, Robert",,"=""1857232097""","=""9781857232097""",0,4.16,Orbit,Paperback,912,1994,1993,,2021/09/13,currently-reading,currently-reading (#3),currently-reading,,,,1,,,0,,,,,
561456,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,"Riordan, Rick",Cẩm Chi,"=""0141382899""","=""9780141382890""",0,4.35,Puffin Books,Paperback,320,2007,2007,,2022/01/04,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,"Riordan, Rick",,"=""0786856866""","=""9780786856862""",3,4.24,Hyperion Books,Hardcover,279,2006,2006,2022/01/04,2022/01/01,,,read,,,,1,,,0,,,,,
26530355,Misbehaving: The Making of Behavioral Economics,Richard H. Thaler,"Thaler, Richard H.",,"=""039335279X""","=""9780393352795""",3,4.16,W. W. Norton  Company,Paperback,358,2016,2016,2021/12/16,2018/04/29,,,read,,,,1,,,0,,,,,
55829194,The Final Girl Support Group,Grady Hendrix,"Hendrix, Grady",,"=""059320123X""","=""9780593201237""",0,3.64,Berkley Books,Hardcover,352,2021,2021,,2021/12/14,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
18043011,Clean Architecture,Robert C. Martin,"Martin, Robert C.",,"=""0134494164""","=""9780134494166""",0,4.24,Prentice Hall,Paperback,432,2017,2017,,2021/12/11,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
57751906,"Rebel's Creed (Lawful Times, #2)",Daniel B. Greene,"Greene, Daniel B.",,"=""""","=""""",3,3.60,Fantasy News,Kindle Edition,263,2021,2021,2021/12/07,2021/09/23,,,read,,,,1,,,0,,,,,
21,A Short History of Nearly Everything,Bill Bryson,"Bryson, Bill",,"=""076790818X""","=""9780767908184""",3,4.19,Crown Publishing Group (NY),Paperback,544,2004,2003,2021/11/14,2019/01/06,,,read,,,,1,,,0,,,,,
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"Riordan, Rick",,"=""""","=""""",3,4.28,Disney Hyperion Books,Paperback,377,2006,2005,2021/11/05,2021/10/28,,,read,,,,1,,,0,,,,,
27224576,Vai lá e faz,Tiago Mattos,"Mattos, Tiago",,"=""""","=""""",4,4.29,,Paperback,505,2015,,2020/08/26,2020/08/26,,,read,,,,1,,,0,,,,,
460635,The Bone People,Keri Hulme,"Hulme, Keri",,"=""0140089225""","=""9780140089226""",0,4.05,Penguin Books,Paperback,450,1986,1984,,2021/10/28,to-read,to-read (#35),to-read,,,,0,,,0,,,,,
9539,"The Shadow Rising (The Wheel of Time, #4)",Robert Jordan,"Jordan, Robert",,"=""0812513738""","=""9780812513738""",4,4.25,Tom Doherty Tor Fantasy,Mass Market Paperback,1007,1993,1992,2021/10/28,2021/09/13,,,read,,,,1,,,0,,,,,
12617,Manufacturing Consent: The Political Economy of the Mass Media,Edward S. Herman,"Herman, Edward S.",Noam Chomsky,"=""0375714499""","=""9780375714498""",0,4.25,Pantheon,Paperback,412,2002,1988,2021/09/28,2019/07/05,,,read,,,,1,,,0,,,,,
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",4,4.27,Harper Perennial Modern Classics ,Paperback,336,2006,1960,2021/09/28,2018/02/21,,,read,,,,2,,,0,,,,,
140671,"The Black Company (The Chronicles of the Black Company, #1)",Glen Cook,"Cook, Glen",,"=""""","=""""",0,3.91,Tor Fantasy,Mass Market Paperback,319,1992,1984,,2021/09/25,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
25490360,The Burnout Society,Byung-Chul Han,"Han, Byung-Chul",Erik Butler,"=""0804795096""","=""9780804795098""",4,3.95,Stanford Briefs,Paperback,60,2015,2010,2021/09/25,2021/09/13,,,read,,,,1,,,0,,,,,
34651610,Utopía para realistas,Rutger Bregman,"Bregman, Rutger",Javier Guerrero,"=""849838799X""","=""9788498387995""",4,4.24,Salamandra,Paperback,304,2017,2014,,2021/09/13,,,read,,,,1,,,0,,,,,
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1501139231""","=""9781501139239""",5,4.47,Atria Books,Hardcover,389,2017,2017,2021/07/16,2021/07/09,,,read,,,,1,,,0,,,,,
7743175,"A Memory of Light (The Wheel of Time, #14)",Robert Jordan,"Jordan, Robert",Brandon Sanderson,"=""0765325950""","=""9780765325952""",0,4.51,Tor Books,Hardcover,912,2013,2013,,2021/09/13,to-read,to-read (#33),to-read,,,,0,,,0,,,,,
8253920,"Towers of Midnight (The Wheel of Time, #13)",Robert Jordan,"Jordan, Robert",Brandon Sanderson,"=""0765325942""","=""9780765325945""",0,4.43,Tom Doherty Associates TOR Fantasy,Hardcover,863,2010,2010,,2021/09/13,to-read,to-read (#32),to-read,,,,0,,,0,,,,,
13888,"Knife of Dreams (The Wheel of Time, #11)",Robert Jordan,"Jordan, Robert",,"=""0812577566""","=""9780812577563""",0,4.15,Tom Doherty Associates,Mass Market Paperback,860,2006,2005,,2021/09/13,to-read,to-read (#31),to-read,,,,0,,,0,,,,,
113435,"Crossroads of Twilight (The Wheel of Time, #10)",Robert Jordan,"Jordan, Robert",,"=""0312864590""","=""9780312864590""",0,3.80,Tor Books,Hardcover,704,2003,2003,,2021/09/13,to-read,to-read (#30),to-read,,,,0,,,0,,,,,
13891,"Winter's Heart (The Wheel of Time, #9)",Robert Jordan,"Jordan, Robert",,"=""081257558X""","=""9780812575583""",0,3.94,Tor Fantasy,Mass Market Paperback,780,2002,2000,,2021/09/13,to-read,to-read (#29),to-read,,,,0,,,0,,,,,
140974,"The Path of Daggers (The Wheel of Time, #8)",Robert Jordan,"Jordan, Robert",,"=""0812550293""","=""9780812550290""",0,3.91,Tor Books,Mass Market Paperback,685,1999,1998,,2021/09/13,to-read,to-read (#28),to-read,,,,0,,,0,,,,,
13890,"A Crown of Swords (The Wheel of Time, #7)",Robert Jordan,"Jordan, Robert",,"=""0812550285""","=""9780812550283""",0,4.04,Tor Books,Mass Market Paperback,880,1997,1996,,2021/09/13,to-read,to-read (#27),to-read,,,,0,,,0,,,,,
1166599,"The Gathering Storm (The Wheel of Time, #12)",Robert Jordan,"Jordan, Robert",Brandon Sanderson,"=""0765302306""","=""9780765302304""",0,4.37,Tor Books,Hardcover,783,2009,2009,,2021/09/13,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
35231,"Lord of Chaos (The Wheel of Time, #6)",Robert Jordan,"Jordan, Robert",,"=""0812513754""","=""9780812513752""",0,4.14,Tor Books,Mass Market Paperback,1011,1995,1994,,2021/09/13,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",2,3.81,Back Bay Books,Paperback,277,2001,1951,2021/09/13,2018/02/20,,,read,,,,1,,,0,,,,,
34897,"The Dragon Reborn (The Wheel of Time, #3)",Robert Jordan,"Jordan, Robert",,"=""0765305119""","=""9780765305114""",4,4.26,Tor Books,Mass Market Paperback,624,2002,1991,2021/09/08,2021/06/11,,,read,,,,1,,,0,,,,,
55404546,Malibu Rising,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",4,4.10,Ballantine Books,Hardcover,369,2021,2021,,2021/07/25,,,read,,,,1,,,0,,,,,
43587154,"Jade City (The Green Bone Saga, #1)",Fonda Lee,"Lee, Fonda",,"=""0316440884""","=""9780316440882""",0,4.11,Orbit,Paperback,560,2018,2017,,2021/08/08,to-read,to-read (#24),to-read,,,,0,,,0,,,,,
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",4,4.62,Tor Books,Hardcover,1007,2010,2010,2021/07/27,2020/11/07,,,read,,,,2,,,0,,,,,
35959740,Circe,Madeline Miller,"Miller, Madeline",,"=""0316556343""","=""9780316556347""",4,4.26,"Little, Brown and Company",Hardcover,393,2018,2018,2021/07/11,2021/05/29,,,read,,,,1,,,0,,,,,
4898,Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,W. Chan Kim,"Kim, W. Chan",Renée Mauborgne,"=""1591396190""","=""9781591396192""",3,3.98,Harvard Business Review Press,Hardcover,240,2005,1994,2021/07/03,2021/07/03,,,read,,,,1,,,0,,,,,
42100305,O caminho do artista,Julia Cameron,"Cameron, Julia",Leila Couceiro,"=""8543105544""","=""9788543105543""",3,3.92,Sextante,Paperback,272,2017,1992,2021/06/13,2021/06/11,,,read,,,,1,,,0,,,,,
233649,"The Great Hunt (The Wheel of Time, #2)",Robert Jordan,"Jordan, Robert",,"=""0812517725""","=""9780812517729""",3,4.24,Tor Books,Mass Market Paperback,705,1991,1990,2021/06/10,2021/01/29,,,read,,,,1,,,0,,,,,
46008420,Endgame (Killing Eve #3),Luke Jennings,"Jennings, Luke",,"=""1529351510""","=""9781529351514""",2,3.63,John Murray,Hardcover,256,2020,2020,2021/05/31,2021/05/27,,,read,,,,1,,,0,,,,,
39321542,"No Tomorrow (Killing Eve, #2)",Luke Jennings,"Jennings, Luke",,"=""""","=""""",3,4.06,John Murray,Kindle Edition,256,2018,2018,2021/05/29,2021/05/27,,,read,,,,1,,,0,,,,,
36546651,"Codename Villanelle (Killing Eve, #1)",Luke Jennings,"Jennings, Luke",,"=""0316512524""","=""9780316512527""",4,3.58,Mulholland Books,Hardcover,220,2018,2017,2021/05/23,2021/05/23,,,read,,,,1,,,0,,,,,
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",3,4.37,Avery,Kindle Edition,319,2018,2018,,2018/11/07,,,read,,,,1,,,0,,,,,
11250317,The Song of Achilles,Madeline Miller,"Miller, Madeline",David Thorpe,"=""1408816032""","=""9781408816035""",4,4.41,Bloomsbury Publishing,Hardcover,352,2011,2011,2021/04/24,2020/12/06,,,read,,,,1,,,0,,,,,
56663640,"Breach of Peace (Lawful Times, #1)",Daniel B. Greene,"Greene, Daniel B.",,"=""""","=""9780578840789""",4,3.61,,ebook,98,2021,2021,,2021/04/17,,,read,,,,2,,,0,,,,,
29044,The Secret History,Donna Tartt,"Tartt, Donna",,"=""1400031702""","=""9781400031702""",3,4.13,Vintage,Paperback,559,2004,1992,2021/04/12,2019/01/11,,,read,,,,1,,,0,,,,,
91477,"Fool Moon (The Dresden Files, #2)",Jim Butcher,"Butcher, Jim",,"=""0451458125""","=""9780451458124""",3,3.99,Roc,Mass Market Paperback,401,2001,2001,2021/04/11,2021/03/10,,,read,,,,1,,,0,,,,,
47212,"Storm Front (The Dresden Files, #1)",Jim Butcher,"Butcher, Jim",,"=""0451457811""","=""9780451457813""",3,3.98,Penguin ROC,Mass Market Paperback,355,2000,2000,2021/03/11,2017/12/31,,,read,,,,1,,,0,,,,,
6918930,Confessions of a Public Speaker,Scott Berkun,"Berkun, Scott",,"=""0596801998""","=""9780596801991""",3,3.92,O'Reilly Media,Hardcover,240,2009,2009,2021/02/14,2017/12/31,,,read,,,,1,,,0,,,,,
52773081,"Write Compelling Fiction: Tips, Tricks, & Hints with Examples to Strengthen Your Prose (Successful Indie Author Book 4)",L.J. Martin,"Martin, L.J.",Craig Martelle,"=""""","=""""",2,4.06,Wolfpack Publishing,Kindle Edition,187,2019,2008,2021/02/01,2021/02/01,,,read,,,,1,,,0,,,,,
228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",,"=""0812511816""","=""9780812511819""",3,4.18,Tor Books,Mass Market Paperback,814,1990,1990,2021/01/29,2017/12/31,,,read,,,,1,,,0,,,,,
1268479,"Warbreaker (Warbreaker, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",3,4.28,Self-published,ebook,688,2009,2009,2021/01/25,2020/11/21,,,read,,,,1,,,0,,,,,
52033836,"War Lord (Saxon Stories, #13)",Bernard Cornwell,"Cornwell, Bernard",,"=""0008183953""","=""9780008183950""",4,4.62,HarperCollins,Hardcover,333,2020,2020,2020/12/13,2020/10/15,,,read,,,,1,,,0,,,,,
26156469,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,"Voss, Chris",Tahl Raz,"=""0062407805""","=""9780062407801""",4,4.37,Harper Business,Hardcover,274,2016,2016,2020/12/05,2020/01/30,,,read,,,,1,,,0,,,,,
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316897""","=""9780765316899""",4,4.49,Tor Books,Hardcover,572,2008,2008,2020/11/20,2020/11/10,,,read,,,,1,,,0,,,,,
48727813,"She Who Became the Sun (The Radiant Emperor, #1)",Shelley Parker-Chan,"Parker-Chan, Shelley",,"=""""","=""""",0,4.00,Tor Books,Kindle Edition,416,2021,2021,,2020/11/17,to-read,to-read (#23),to-read,,,,0,,,0,,,,,
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316889""","=""9780765316882""",4,4.36,Tor Books,Hardcover,590,2007,2007,2020/11/10,2020/10/12,,,read,,,,1,,,0,,,,,
68428,"The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""9780765311788""",4,4.45,Tor Books,Hardcover,541,2006,2006,2020/10/13,2020/10/03,,,read,,,,1,,,0,,,,,
44056482,"Sword of Kings (The Saxon Stories, #12)",Bernard Cornwell,"Cornwell, Bernard",,"=""""","=""""",0,4.43,Harper,Kindle Edition,349,2019,2019,2020/09/26,2020/09/11,,,read,,,,1,,,0,,,,,
37819082,"War of the Wolf (The Saxon Stories, #11)",Bernard Cornwell,"Cornwell, Bernard",,"=""006256319X""","=""9780062563194""",3,4.36,Harper,ebook,352,2018,2018,2020/09/15,2018/09/20,,,read,,,,1,,,0,,,,,
40597810,Daisy Jones & The Six,Taylor Jenkins Reid,"Reid, Taylor Jenkins","Jennifer Beals, Benjamin Bratt, Judy Greer, Pablo Schreiber","=""1524798622""","=""9781524798628""",4,4.23,Ballantine Books,Hardcover,355,2019,2019,2020/09/10,2019/09/10,,,read,,,,1,,,0,,,,,
30841984,"Kings of the Wyld (The Band, #1)",Nicholas Eames,"Eames, Nicholas",,"=""0316362476""","=""9780316362474""",0,4.29,Orbit,Paperback,502,2017,2017,,2020/08/30,to-read,to-read (#22),to-read,,,,0,,,0,,,,,
2315892,Best Served Cold,Joe Abercrombie,"Abercrombie, Joe",,"=""0575082453""","=""9780575082458""",2,4.18,Gollancz,Hardcover,534,2009,2009,2020/06/13,2020/03/19,,,read,,,,1,,,0,,,,,
49902802,Este Livro Não Vai Te Deixar Rico,Startup da Real,"Real, Startup da",,"=""8542217527""","=""9788542217520""",4,4.36,Planeta Estratégia,Paperback,240,,2018,2020/03/15,2020/03/19,,,read,,,,1,,,0,,,,,
